numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
0762461M,Collège Jean Renoir,11.6,0.9,100.000000000000000000000,0.000000000000000000000,51.388888888888888889000,94.7,34.0,HORS EP,NORMANDIE
0760050S,Collège Jules Vallès,8.7,0.0,100.000000000000000000000,0.000000000000000000000,43.809523809523809524000,81.2,22.0,REP+,NORMANDIE
0761739C,Collège Descartes,8.9,1.2,81.176470588235294118000,0.000000000000000000000,50.588235294117647059000,70.1,18.6,REP+,NORMANDIE
0761782Z,Collège Eugène Varlin,8.3,-0.2,80.373831775700934579000,0.000000000000000000000,48.598130841121495327000,69.3,18.8,REP+,NORMANDIE
0762128A,Collège Léo Lagrange,9.2,NULL,76.404494382022471910000,0.000000000000000000000,42.696629213483146067000,80.0,23.6,REP,NORMANDIE
0761737A,Collège Denis Diderot,8.9,-0.5,100.000000000000000000000,0.000000000000000000000,48.113207547169811321000,85.6,28.9,REP,NORMANDIE
0760083C,Collège Jean Charcot,10.3,0.6,97.841726618705035971000,0.000000000000000000000,48.201438848920863309000,88.2,28.2,REP,NORMANDIE
0760086F,Collège Louis Pasteur,11.2,0.5,100.000000000000000000000,0.000000000000000000000,50.000000000000000000000,95.8,33.5,REP,NORMANDIE
0240004Z,Collège Henri IV,10.9,-0.5,98.484848484848484848000,0.000000000000000000000,45.454545454545454545000,100.4,34.2,HORS EP,NOUVELLE-AQUITAINE
0240043S,Collège Les Marches de l'Occitanie,13.2,2.3,100.000000000000000000000,0.000000000000000000000,40.476190476190476190000,96.2,27.6,REP,NOUVELLE-AQUITAINE
0331880P,Collège Pablo Neruda,9.9,-0.3,85.000000000000000000000,0.000000000000000000000,47.142857142857142857000,86.5,34.8,REP,NOUVELLE-AQUITAINE
0331753B,Collège Blanqui,11.2,0.1,100.000000000000000000000,0.000000000000000000000,48.958333333333333333000,85.5,33.3,REP+,NOUVELLE-AQUITAINE
0331464M,Collège Jean Zay,10.9,0.0,97.419354838709677419000,14.838709677419354839000,50.322580645161290323000,91.1,35.6,REP,NOUVELLE-AQUITAINE
0331621H,Collège Henri de Navarre,9.1,-0.7,87.654320987654320988000,0.000000000000000000000,52.263374485596707819000,81.2,29.0,REP,NOUVELLE-AQUITAINE
0400010U,Collège Jules Ferry,8.6,-0.9,100.000000000000000000000,0.000000000000000000000,58.064516129032258065000,90.7,28.4,REP,NOUVELLE-AQUITAINE
0400014Y,Collège Félix Arnaudin,11.0,0.1,100.000000000000000000000,0.000000000000000000000,51.000000000000000000000,93.7,26.2,REP,NOUVELLE-AQUITAINE
0640609P,Collège Albert Camus,10.2,0.6,84.732824427480916031000,0.000000000000000000000,53.435114503816793893000,83.7,27.9,REP,NOUVELLE-AQUITAINE
0642095E,Collège innovant Pierre Emmanuel,10.2,-0.3,100.000000000000000000000,0.000000000000000000000,42.857142857142857143000,91.3,33.0,HORS EP,NOUVELLE-AQUITAINE
0870023C,Collège Léon Blum,11.0,-0.5,100.000000000000000000000,0.000000000000000000000,61.261261261261261261000,104.3,35.4,HORS EP,NOUVELLE-AQUITAINE
0160024P,Collège Elisabeth et Robert Badinter,10.5,-0.5,98.750000000000000000000,0.000000000000000000000,48.750000000000000000000,98.0,30.3,HORS EP,NOUVELLE-AQUITAINE
0170063B,Collège Edgar Quinet,12.3,0.4,84.000000000000000000000,0.000000000000000000000,48.571428571428571429000,98.0,32.5,HORS EP,NOUVELLE-AQUITAINE
0790052C,Collège Pierre et Marie Curie,11.7,0.0,88.281250000000000000000,0.000000000000000000000,47.656250000000000000000,103.3,36.7,HORS EP,NOUVELLE-AQUITAINE
0860799B,Collège Jules Verne,9.2,-0.1,98.620689655172413793000,0.000000000000000000000,51.034482758620689655000,80.5,30.7,REP,NOUVELLE-AQUITAINE
0860702W,Collège Jean Macé,10.3,-0.2,97.752808988764044944000,0.000000000000000000000,55.056179775280898876000,86.9,32.4,REP,NOUVELLE-AQUITAINE
0860723U,Collège Pierre de Ronsard,11.2,-0.3,97.023809523809523810000,0.000000000000000000000,54.166666666666666667000,100.8,37.4,REP,NOUVELLE-AQUITAINE
0110010B,Collège André Chénier,10.4,0.1,100.000000000000000000000,0.000000000000000000000,47.252747252747252747000,101.7,32.3,HORS EP,OCCITANIE
0110810W,Collège de Grazailles,10.5,0.0,83.982683982683982684000,0.000000000000000000000,48.917748917748917749000,97.1,30.7,HORS EP,OCCITANIE
0110686L,Collège Joseph Anglade,10.4,-0.7,98.369565217391304348000,0.000000000000000000000,50.000000000000000000000,94.8,31.9,HORS EP,OCCITANIE
0300947S,Collège Alphonse Daudet,10.3,-0.3,86.466165413533834586000,0.000000000000000000000,51.879699248120300752000,78.8,24.9,HORS EP,OCCITANIE
0301282F,Collège Elsa Triolet,10.3,-0.1,84.444444444444444444000,0.000000000000000000000,48.148148148148148148000,87.2,28.2,REP,OCCITANIE
